season,episode,title,rating,votes
1,1,Chapter 1: The Mandalorian,8.6,37914
1,2,Chapter 2: The Child,8.5,33778
1,3,Chapter 3: The Sin,8.9,33747
1,4,Chapter 4: Sanctuary,7.8,31841
1,5,Chapter 5: The Gunslinger,7.5,28635
1,6,Chapter 6: The Prisoner,8.3,30005
1,7,Chapter 7: The Reckoning,9,29071
1,8,Chapter 8: Redemption,9.2,31716
2,1,Chapter 9: The Marshal,8.8,31565
2,2,Chapter 10: The Passenger,7.8,27582
2,3,Chapter 11: The Heiress,8.7,27348
2,4,Chapter 12: The Siege,8.3,25091
2,5,Chapter 13: The Jedi,9.3,36925
2,6,Chapter 14: The Tragedy,9.1,28934
2,7,Chapter 15: The Believer,8.9,26377
2,8,Chapter 16: The Rescue,9.7,68050
3,1,Chapter 17: The Apostate,7.4,22278
3,2,Chapter 18: The Mines of Mandalore,8.2,20755
3,3,Chapter 19: The Convert,7,21408
3,4,Chapter 20: The Foundling,7.6,18095
3,5,Chapter 21: The Pirate,8.1,17847
3,6,Chapter 22: Guns for Hire,6.4,23467
3,7,Chapter 23: The Spies,8.7,19832
3,8,Chapter 24: The Return,8.4,18448
